Project_ID,Team_Size,Complexity,Risk_Rating,Scope_Creep_Frequency,Duration,Budget,Client_Satisfaction,Success
87,14,3,6,1,31.28476796096222,169033.83408423737,62.426276736861034,0
88,11,5,8,0,30.19673208655653,244099.17083959354,51.724103784996046,0
89,10,5,1,0,21.357942119785818,186423.1900638309,87.22645841312936,1
90,7,3,7,0,12.591855500993866,132632.5523584387,63.99644993433445,1
91,4,9,1,4,28.180118783710338,253315.0216619441,61.11635053971711,0
92,7,4,7,0,20.5572841178313,125817.36804724064,59.82173636105022,0
93,10,5,3,4,23.121355151770654,215766.03256125347,64.66200769668325,1
94,12,4,8,3,23.609203989840843,214541.33939871148,41.35850756379405,0
95,11,5,3,1,29.197418168817087,247934.25147117279,70.48003653724835,0
96,14,7,1,1,33.116422667079014,335902.5149086191,76.82192209008012,0
97,14,9,8,1,42.6534069914654,344511.14523368905,33.35076647502223,0
98,14,7,3,1,33.47848654944405,276341.6423175604,70.55769418632515,0
99,11,5,2,1,24.347991147139147,239514.78264896054,79.39295041940564,1
100,3,7,1,1,16.83376720071186,198062.70922290316,77.25083443259854,1
101,11,5,3,1,33.12947417799715,220990.27223333105,71.39425803212406,0
102,9,3,2,3,25.279121188584412,154784.08491057827,72.77756848575541,1
103,11,7,2,0,34.965091753839744,274691.3210797236,76.10397501370328,0
104,10,2,6,2,19.991060747232222,157006.9025296099,57.61870764445912,0
105,3,9,1,4,23.347979526468464,153855.58901071263,61.603090600323064,1
106,14,1,2,2,18.765867052048637,193419.25481232192,83.46708988384388,1
107,10,6,6,2,21.09249067017615,176823.02846697695,49.91532019972219,0
108,10,7,3,0,23.64928343751932,261353.70650274624,66.27119677142014,1
109,13,8,4,0,32.109573778994566,260142.8637796716,63.16895878935766,0
110,5,9,1,0,31.356259812040218,223364.3677548948,71.63877516148501,0
111,3,2,8,1,10.098509253852136,76687.12687439084,56.94768637091529,0
112,10,2,7,3,18.805724934200825,219801.48699453284,54.272180406932165,0
113,5,5,7,1,20.435803638231878,168568.7490446731,49.05710365923438,0
114,5,5,3,3,22.005068981357333,184119.97024355837,59.629412637258014,0
115,3,6,3,3,17.816351244515076,188921.94764865417,64.59569974963364,1
116,13,3,2,2,24.629555123969077,227123.95709498055,77.42310289791276,1
117,7,8,1,2,23.104217993849105,238856.21241015356,68.67454644813691,1
118,12,1,7,3,22.132974833527538,133198.53006169217,56.456393573940225,0
119,9,6,7,3,24.220761892571666,211801.32243358577,36.23889961030534,0
120,12,4,2,1,20.81581451381031,189968.84173310891,80.38799841045966,1
121,11,1,7,1,21.038224420249733,139973.52874689034,63.29737960846391,1
122,14,7,8,2,32.800179631535954,385662.50543343095,34.06940790688682,0
123,9,9,1,0,26.413321398848826,275157.9679139995,69.5303920454868,1
124,11,4,9,3,28.334174385841173,174219.41435765228,37.81765664387181,0
125,10,4,7,1,17.886614527332966,235985.07055012175,57.38313602458464,0
126,14,6,3,2,22.938432014409273,319942.67190692265,64.5357715521784,1
127,4,3,8,1,12.176487665040437,119130.10937420673,47.69660397445094,0
128,3,6,7,3,18.453985208469238,95852.87512554252,36.82800154847581,0
129,9,7,8,3,22.628152874444556,309998.1673511379,30.70362887202784,0
130,9,3,6,4,18.405315223134004,146920.10196346504,54.69385922348225,0
131,10,7,9,0,27.433609104472765,277896.14568450296,38.25974801370337,0
132,7,3,5,4,14.394338984845318,196047.39518419173,53.5942932316054,0
133,5,2,3,2,14.797134008461224,130485.32397104989,70.97954560097166,1
134,14,4,3,1,30.453681646176136,200897.5149810925,72.02994562966967,0
135,10,8,1,2,28.013746997830054,200441.23717189996,64.3011909380275,0
136,8,9,8,3,29.418497228831367,319504.9037504609,22.9904605072316,0
137,13,7,2,4,33.120245108319644,288676.62314491795,58.35985204047623,0
138,5,1,3,4,8.913939344092817,71488.54126307296,69.79650738316647,1
139,3,3,8,4,11.136215621671681,99318.27820408571,45.098483358014036,0
140,5,9,8,2,28.749813251758543,215973.45563400068,33.23401011812243,0
141,7,1,4,3,12.331207410962197,113922.51032982863,68.17334818656899,1
142,5,9,4,1,19.779629909077883,224478.3268892931,51.249546474778455,0
143,3,8,5,1,16.570638496434754,201671.637849845,56.147925806992575,0
144,7,1,6,2,13.94133317786628,86792.9442846814,68.98012746845045,1
145,12,6,5,4,21.758326838696156,311827.40455157065,39.4172552693634,0
146,9,5,7,0,26.387786405512625,221021.57123417046,55.2785728719151,0
147,9,6,2,2,22.304347143542135,239266.7052985286,68.24436507630982,1
148,13,5,7,2,25.467126232047114,200175.53299250823,48.94736042017981,0
149,11,6,7,3,26.5257889176745,307985.2966657699,45.828004372484514,0
150,12,5,1,1,32.92616946331228,233465.07212471555,79.54782894201661,0
151,12,5,7,2,29.667415559036204,262393.90563476377,40.81790445600826,0
152,14,4,5,2,31.79893294135107,227087.02145013565,61.73702310044779,0
153,5,3,3,4,13.116798401178354,118956.89222895984,69.1698922058126,1
154,9,3,3,4,21.013385852396723,170022.4385072239,64.08872065544068,1
155,3,4,4,0,12.009682429483938,57241.243223938414,70.88488755958102,1
156,6,9,2,3,33.649853819425275,256715.4768615384,54.6882217838669,0
157,6,2,2,0,12.324173623228038,143376.14631099752,91.5506161013937,1
158,7,9,1,4,29.407915682399118,268130.9906186702,55.63661717614506,0
159,9,1,5,1,13.650919466175033,105888.1267733155,73.98628090102854,1
160,9,1,4,4,9.746294400485281,139649.19288923164,66.08340874721982,1
161,13,5,2,3,29.46212299022564,289438.7017371069,67.7738611627317,0
162,6,6,3,4,22.484183774520673,195373.9954857116,58.1038769802567,0
163,9,6,7,3,27.105218406505266,213331.4241685184,38.56426030040742,0
164,13,3,7,3,23.087979270396957,201524.7770961624,47.70824031945316,0
165,5,7,4,3,18.93623886680315,178364.39758362898,54.39280854999926,0
166,8,9,5,3,28.618560876617963,288004.4067434821,38.03922402749404,0
167,14,8,5,3,35.67849179484279,238829.55225689933,41.359339427533016,0
168,4,6,6,1,22.886120975598004,146331.29781775945,49.21905712596922,0
169,12,8,9,0,34.701588021099965,364589.2715045255,38.54703273982966,0
170,11,5,2,2,28.945201844280948,282465.2248633555,71.6842890957562,0
171,7,8,5,0,25.55995146364021,171830.41066353684,52.0591545617628,0
172,8,4,3,3,17.19362491744458,136320.41888461896,68.56142568692721,1
173,14,8,4,1,33.341990577448826,297927.72986454726,55.33337351527369,0
174,14,2,6,4,24.699370553435056,234348.04358188793,50.38496576348935,0
175,14,5,8,1,35.85633242997278,179418.6027757214,45.412964323369145,0
176,14,9,1,3,31.843810733633767,326985.5250795387,65.43617082840368,0
177,6,4,8,1,11.551184555179658,132619.70024208853,47.81511341051029,0
178,13,6,7,1,37.04715194312526,322342.44566855027,49.72601659234675,0
179,12,1,1,3,23.364903392526756,116723.47120283013,87.18124006135287,1
180,9,9,2,1,32.268678659850956,274164.327697213,65.32981989401922,0
181,14,1,3,2,33.60859739462015,173798.1074421936,82.81321494902278,0
182,11,5,1,2,25.811731717171465,276382.56027225964,74.87865198610316,1
183,9,4,9,1,21.90768748734467,197929.57939059747,40.86999547084899,0
184,3,3,8,4,11.115259257482009,81212.76511113398,36.811100031925015,0
185,3,6,2,3,22.616383001302786,164481.27463989798,64.56659475410062,1
186,11,2,9,2,16.760710003332207,157112.79210735994,43.158860026478415,0
187,13,3,7,4,18.97508529706451,244976.53989339137,45.44262273559598,0
188,11,5,9,1,30.669662985127527,213228.15133723358,41.23096525917468,0
189,6,9,6,4,26.813163803441956,275131.99657198176,35.05571990955812,0
190,11,2,6,0,17.982950532445354,180210.294743563,69.87343292470813,1
191,5,8,4,2,18.277268568159283,314856.6967435084,51.751544432415656,0
192,9,2,2,1,19.84683778921113,142730.4958700159,86.23254761329805,1
193,8,5,7,3,19.274467850209113,197868.7310402649,39.90941794030618,0
194,10,7,5,1,25.21327753841473,226343.5855896468,54.885577935927046,0
195,13,8,6,3,41.95196672412752,300134.26703773893,39.95820370078674,0
196,11,1,2,1,17.705928150360513,82454.12164626397,88.38795279445038,1
197,7,6,5,4,23.37190110853619,206898.68852931302,47.24519528480795,0
198,3,1,4,4,5.546451653855586,66085.86791654471,64.06786195286162,1
199,5,2,9,4,11.063958083837493,102346.08007358966,41.456094208428546,0
200,12,1,6,0,22.834055240002225,126525.74063461079,77.46650684818712,1
201,14,5,2,3,24.246356281992398,223523.15243351294,63.19197156542422,1
202,10,9,1,4,38.26588483209859,167780.97002365527,53.35320601213726,0
203,13,6,5,0,31.56162768195736,307072.6563020786,62.129249024073154,0
204,8,1,9,3,13.988232455127639,94876.24743851797,44.23034705834138,0
205,10,1,6,1,14.452747524963229,137339.70242511877,73.68923721731835,1
206,11,2,7,0,23.14435042237941,163695.34797483782,64.65935297027339,1
207,6,9,5,2,27.35171813234276,292021.3543906724,49.17763576117787,0
208,3,3,6,0,11.054104787693507,91279.21976948608,59.8526283406392,0
209,3,1,5,0,7.023604377901587,61280.03628095409,79.44250844999705,1
210,12,5,9,3,26.7585154398312,255312.08680175882,30.853449542225036,0
211,6,7,6,1,22.069128873807614,242860.57685872618,47.805372291141026,0
212,14,6,8,2,34.84620763785348,265000.3100528639,38.254925920763625,0
213,9,1,2,4,12.759605032555996,165261.92194059485,71.72624908080672,1
214,4,5,9,4,11.691579557041335,92329.77040281575,30.328356575965557,0
215,5,5,5,0,16.305598726264254,171436.83745003087,65.57214490015039,1
216,3,6,7,3,20.192103395337057,123201.12939206083,40.798576744561814,0
217,7,3,1,3,15.401922042590936,126666.76028606108,81.66109306639872,1
218,3,5,5,4,10.07997346177551,137957.69960492174,53.54434613858246,0
219,10,7,2,2,35.84449379717509,269017.48404375743,64.90886685273736,0
220,3,5,6,1,19.385611884362326,138734.9882874915,57.43205191920942,0
221,13,5,1,2,23.056904753318605,189167.5242916852,77.87896462500494,1
222,3,5,3,1,15.130796043776716,156429.63485686405,72.13284351898682,1
223,4,3,5,4,12.88198416360185,86688.99899012952,56.17779299339795,0
224,4,1,4,1,8.610585435061719,57559.842007522806,82.77151003369451,1
225,14,5,3,3,30.34933261067972,285429.55974117364,61.62096939453212,0
226,8,9,5,0,30.498404669541358,245670.98948526665,48.422792290388955,0
227,9,1,8,0,13.680776397458107,132473.47765181234,59.90637869415234,0
228,7,3,4,4,17.04979264845471,88398.18397744588,62.271800800606215,1
229,3,4,1,3,13.657970279185946,113117.84009134615,76.06998852594153,1
230,3,1,7,2,7.065661950413498,55960.48691560993,57.59720197851501,0
231,5,1,8,3,10.35355688420502,71371.83900906432,46.770508194771075,0
232,4,8,3,0,17.940074501321043,125629.56928752673,66.6638583651916,1
233,7,2,6,0,14.940279718067327,115743.83477036789,70.93351882582142,1
234,14,8,2,3,39.194650136013244,310056.5592904721,59.91761616528808,0
235,12,7,7,3,28.654941016060775,253474.6954351277,36.24000900653516,0
236,8,2,8,0,19.226305389748173,91604.16178248504,59.439923852892385,0
237,9,6,6,2,30.441504350835643,273410.424263409,49.422528899672244,0
238,6,6,6,4,29.333037314461983,160834.1541616688,41.56909079365299,0
239,9,3,5,4,19.513826958396944,156000.47410108167,51.44708514694264,0
240,13,2,8,3,23.039189260169326,114896.8217210147,47.59197905184463,0
241,10,1,1,4,19.130129368289516,174681.67302005878,79.67821059460141,1
242,13,6,4,0,36.36219583481254,243471.80300370153,70.12185581802927,0
243,3,5,4,0,17.20858963727773,128067.71915855823,70.39875592525082,1
244,8,9,3,3,33.7090630196893,306191.710127116,53.506437665468674,0
245,10,1,3,3,17.33218292582989,122445.0032915176,74.09465583885074,1
246,7,7,4,3,26.413923209474905,243713.57455852904,51.20285848716563,0
247,6,5,1,2,22.202157900576402,106344.21268958916,81.48275373876899,1
248,4,5,2,4,18.05249064433522,150672.6931241402,65.30900556524652,1
249,8,2,9,3,17.229478008311638,166589.32766343237,39.85645640278278,0
250,8,3,2,1,17.700396349456582,135489.57881954926,84.69092331586143,1
251,13,7,5,1,28.17339180223604,334587.43615402473,53.400085799716386,0
252,3,6,9,0,14.002268993598769,188014.1436526508,42.67709441343457,0
253,11,2,9,4,22.323680621512196,160864.42853448744,43.51002389257822,0
254,14,6,8,3,24.11035187083414,260473.6988509064,30.70615283708584,0
255,13,2,1,1,21.181374158030838,163254.60013336627,89.47265423470039,1
256,8,2,1,4,14.723221590263392,120785.93658592705,79.22481492270609,1
257,5,2,9,0,13.526945078278361,82954.24175563808,56.29409500399402,0
258,6,3,8,2,15.757773227601874,107118.66693302822,44.276298277917384,0
259,14,2,9,4,31.870144224697178,244760.4000881861,33.392629194274946,0
260,13,4,7,4,24.73955095381988,197982.81103904612,45.272248055971275,0
261,6,9,3,2,29.785145885786623,244082.35467406528,52.83875542958849,0
262,5,6,3,4,21.815535826788157,169070.53618605467,53.713152476008055,0
263,12,1,2,0,19.563377286347816,202448.55318942032,96.6507490183165,1
264,5,8,5,0,24.502508563172167,186892.68811012956,56.20910694419547,0
265,5,7,3,2,21.88387251271523,197815.58944628396,61.22871468304472,1
266,6,3,6,3,18.046706975910748,142612.4637477983,53.4606016645454,0
267,9,1,2,1,14.912739377409553,157284.7417537322,84.32805379977049,1
268,6,5,3,3,18.6833523182568,148020.6596837778,65.02709084818316,1
269,11,4,5,4,27.75900739596932,182991.65606309904,53.22835156577687,0
270,3,8,1,1,19.819503807328715,148146.56838119842,72.5060739760183,1
271,10,1,1,2,18.900082341807924,189434.89127950955,88.65103088217123,1
272,9,1,9,2,13.38776608639559,155073.92120178812,48.12304105198514,0
273,4,4,7,1,16.38095353363613,119155.97211375913,56.73745016864224,0
274,10,8,1,0,30.12431092449146,348983.3226495905,75.57612081038171,0
275,3,5,8,1,12.14542316554249,123860.86871832119,45.807816884398335,0
276,13,2,3,4,25.58260304380958,215181.13508587296,69.58967946465133,1
277,14,6,8,0,36.32666613647824,276467.90747924516,47.62388279204116,0
278,11,5,5,2,24.164949684279993,236718.80171476744,61.92682817262131,1
279,11,2,1,1,17.644258303813835,176169.3203909393,84.71589966758009,1
280,4,3,7,3,10.938946102005469,94775.24865259696,49.89972231510179,0
281,9,9,5,3,33.93993885248662,319162.43421384087,38.88318265858349,0
282,12,7,6,4,33.233925822182854,302217.85879577557,35.17374039573521,0
283,5,7,6,3,17.233021983357375,217858.53239854585,40.628807381866956,0
284,9,6,8,1,25.27360449092847,227528.17867797648,43.16403822544528,0
285,14,8,9,1,38.93456591932713,264858.366147589,32.29720722777023,0
286,12,4,2,3,33.45505078241824,277537.8983960773,66.44808135296452,0
287,11,8,9,1,31.979153623391774,263922.4132558984,30.376748510966543,0
288,6,4,9,4,13.641341694910537,152737.60868564193,32.843664654429375,0
289,14,8,7,0,39.8048970564398,345039.830658758,43.36920864764904,0
290,3,9,1,4,17.64308078204241,209794.9166351814,53.655648285850454,0
291,4,3,7,4,16.223290225430503,117562.08936091467,38.231603077521164,0
292,3,3,5,1,11.392570500233541,106100.66883474747,65.01041965487393,1
293,14,2,6,0,29.629910799480026,196355.66089639356,65.55111240314756,0
294,7,3,7,1,17.99801885735241,175385.7488649799,54.04820135066983,0
295,7,3,5,2,15.165283832948724,131861.2182542909,62.18453909016104,1
296,13,5,7,1,27.205779568405383,259806.7110041123,49.200513370371304,0
297,9,5,9,1,20.439761974722664,185206.61994106034,37.50128631842208,0
298,11,2,3,1,10.405648355215005,149142.74136577785,73.65247530430032,1
299,11,6,8,0,29.93054839743581,281767.6435516346,47.90693391544293,0
300,5,5,2,1,18.164296148790868,228047.42243565113,78.25848164142542,1
301,5,6,7,0,14.36968149874846,157870.72312703112,50.80976506301688,0
302,5,1,2,3,12.311358095047407,93799.18047081502,79.20267291063718,1
303,6,5,4,2,17.101905264512673,153200.39455709475,62.00843154705837,1
304,10,9,7,0,39.81458202340373,281507.2060877678,47.73635072983676,0
305,8,2,3,3,15.278096314332668,170666.8429890968,67.29687661852269,1
306,10,1,2,0,16.276543816679762,113308.68844326795,90.75653082238229,1
307,3,9,7,0,28.328028383231363,153840.75073543694,37.83408110760184,0
308,10,9,1,2,35.05596914602032,277901.663508132,66.08695537620667,0
309,6,9,8,4,29.453774173273445,259882.5850895693,21.568124818635965,0
310,13,6,3,4,30.935314926788735,284401.32915395877,56.60897633880823,0
311,3,8,2,0,22.78637190234381,190820.37527078987,71.45936768777322,1
312,10,1,3,1,14.62826641902382,138785.03557476628,85.97212476111055,1
313,6,4,5,3,16.193426469230406,162876.96064761406,57.6143988937054,0
314,8,1,8,1,15.571014334652686,58640.223601145524,60.49152387298027,1
315,10,8,7,1,31.24789137055403,230964.56657613942,38.803395930309165,0
316,6,1,7,0,10.646424365079188,88595.81386074828,70.57951259492543,1
317,5,3,7,0,12.593468475995632,127386.16118294768,58.832911781533,0
318,11,4,8,0,22.280099940339632,254652.01476233124,51.00539137212806,0
319,5,8,1,0,27.137189895804816,173906.60992231724,76.81252773205898,1
320,11,6,4,4,36.97907376361558,298283.1450214627,51.90575478914783,0
321,4,7,6,0,15.183123482560234,160875.7115931605,50.78442959330256,0
322,4,8,9,4,21.09106490810238,187842.88694461805,19.48016212467831,0
323,4,2,2,4,8.715076517185068,92140.05526316658,77.46470595060843,1
324,8,8,1,0,31.42048910383251,231870.55682772904,71.59499031539771,0
325,5,3,2,2,14.945185313876431,135092.23452666003,82.45565772303817,1
326,11,7,7,3,27.8474156751249,240602.02176013484,36.27490464575053,0
327,6,3,3,1,14.07495075733957,117819.76518311299,69.98673549969455,1
328,3,7,2,4,17.659992421180863,190403.45876365196,53.89980479955128,0
329,6,2,7,3,13.4489006628453,94263.76101118214,49.10956738679442,0
330,3,6,2,2,14.488714279725965,149974.29828759984,67.12821209765177,1
331,7,3,3,1,19.6412703650416,99808.89864304203,76.68586022412399,1
332,6,3,7,1,15.173316051907513,164212.426393285,48.88955961071528,0
333,10,9,4,4,25.053750156239253,338707.9410031284,42.56041317743296,0
334,10,7,1,0,34.91686859608505,358754.39518281096,75.83472847502534,0
335,9,5,5,2,20.13315995656132,242166.00313773073,61.171567714803174,1
336,5,7,9,4,21.239955799107037,150980.84288238507,22.189469837768076,0
337,3,9,8,2,22.399695081312125,220065.4453852995,32.82853851519819,0
338,3,1,9,0,6.082800270478629,45737.92114000375,60.331046939742876,1
339,14,7,9,0,31.778177786545115,371323.8378456018,42.24981973039865,0
340,13,6,7,4,35.779508303353595,215549.8273289868,34.300779771112545,0
341,5,9,4,0,20.82638099040394,179481.26928312748,56.26239952683603,0
342,8,1,5,3,12.348761239838977,83413.58237976294,64.32508010213506,1
343,9,4,1,1,18.73532840157664,165348.60536210993,85.90871212613678,1
344,8,9,1,4,26.821255994595194,228352.45353430643,55.46791419073751,0
345,8,4,3,2,21.307371705790487,132673.82503650055,69.64221257922925,1
346,8,3,8,3,13.41305193924062,199745.2276060881,44.82078144901835,0
347,5,9,2,4,30.48703510036981,241605.58576630586,49.2853242218564,0
348,8,2,4,0,15.27708141909561,141069.15987684764,76.09567513501264,1
349,10,4,2,0,33.06340691902582,242853.26141593367,82.52520835578802,0
350,13,6,5,0,40.68007451930356,275275.3428498891,61.92253644485493,0
351,13,2,9,0,26.24116848312794,168042.23355183552,55.30165644000493,0
352,4,8,1,2,29.442765212233727,137593.28823943497,70.01565972485467,0
353,7,8,5,3,25.622946215611123,197407.81909095065,40.702811538285054,0
354,3,1,9,1,6.688300671035176,67548.74040457617,50.56374520416931,0
355,14,3,1,2,24.170871919432816,175552.56371961208,80.0877431373107,1
356,3,9,9,2,23.8939043816007,209653.19885392993,29.237342204774265,0
357,7,5,8,1,20.047626591201322,203983.82914948117,45.639188229392396,0
358,14,6,4,1,34.27105854801124,289125.86266038957,63.04838788573506,0
359,5,4,5,0,15.973017269719868,140777.63323339281,68.17332309204053,1
360,6,2,5,2,11.361857852654197,119800.87043172166,63.85298995884708,1
361,5,8,6,4,24.23787940860373,216895.54964197008,39.69280855683809,0
362,3,6,7,1,17.465375053043214,182617.78013935877,49.23307996445618,0
363,3,5,8,1,12.955516853452085,104153.87370722018,46.118771589333846,0
364,14,9,8,3,41.70734284304972,343223.3682261332,22.6842307365483,0
365,14,1,2,4,23.186068730880464,129634.5465460884,72.51420252503127,1
366,7,5,9,4,22.63154861059123,113861.36057159043,28.073277405182694,0
367,8,6,7,1,28.456308157758905,201223.18495103254,45.90002461928451,0
368,5,5,4,0,23.14540728965028,163584.4892236189,66.79766696336034,1
369,14,6,4,3,35.28835462982454,351010.717752928,53.88712594128533,0
370,11,6,8,4,31.31527115821648,336791.66932041856,30.350715915172334,0
371,7,7,4,1,30.763481721120968,256195.1234732918,60.42535626138081,0
372,10,4,6,4,28.102761881757626,215269.3038207369,45.48824158587721,0
373,3,8,5,3,19.462390104824518,184798.94567321445,40.977197916019904,0
374,7,7,3,3,30.943778317845755,156407.01778858178,54.081237342026256,0
375,5,9,2,2,28.554840867250192,216596.64558755344,63.63891818767856,0
376,14,7,9,1,37.1403680969302,357228.46081165306,31.244726940914774,0
377,3,3,9,3,8.108971980318612,103474.2278404206,40.08954689487381,0
378,6,3,1,2,10.861846848113428,98986.98291965808,84.55863898932319,1
379,7,8,3,2,25.496882755646226,251332.97459582225,57.63617357249299,0
380,9,5,8,4,27.705015870145957,215436.96279163478,39.30348717521554,0
381,3,4,6,4,12.762094089741499,114298.02216206527,48.5051569790831,0
382,5,8,5,2,24.013995002178465,203052.91111717065,53.52870914491395,0
383,4,6,5,4,17.39320257968675,173305.18314054902,44.04680799425538,0
384,11,2,6,3,18.02175028270453,187524.76508954715,55.09816377031974,0
385,12,4,7,0,24.70385955328411,192907.48444446942,59.58261147604004,0
386,8,4,1,3,22.26044164136205,180740.39371869867,75.21560308804239,1
